time,tier,map,ban,matchid
1/19/2020 1:42:29 PM,4,Ranked Frog Isle,Raum,927657767
1/19/2020 1:42:29 PM,4,Ranked Frog Isle,Zhin,927657767
1/19/2020 1:42:29 PM,4,Ranked Frog Isle,Moji,927657767
1/19/2020 1:42:29 PM,4,Ranked Frog Isle,Maeve,927657767
1/2/2020 12:44:59 PM,4,Ranked Stone Keep,Kinessa,920372212
1/2/2020 12:44:59 PM,4,Ranked Stone Keep,Makoa,920372212
1/2/2020 12:44:59 PM,4,Ranked Stone Keep,Atlas,920372212
1/2/2020 12:44:59 PM,4,Ranked Stone Keep,Willo,920372212
1/4/2020 7:28:44 AM,4,Ranked Jaguar Falls,Willo,921112468
1/4/2020 7:28:44 AM,4,Ranked Jaguar Falls,Skye,921112468
1/4/2020 7:28:44 AM,4,Ranked Jaguar Falls,Maeve,921112468
1/4/2020 7:28:44 AM,4,Ranked Jaguar Falls,Makoa,921112468
1/11/2020 2:07:10 PM,5,Ranked Stone Keep,Strix,924040408
1/11/2020 2:07:10 PM,5,Ranked Stone Keep,Raum,924040408
1/11/2020 2:07:10 PM,5,Ranked Stone Keep,Willo,924040408
1/11/2020 2:07:10 PM,5,Ranked Stone Keep,Skye,924040408
1/13/2020 3:57:44 AM,5,Ranked Splitstone Quarry,Raum,924970455
1/13/2020 3:57:44 AM,5,Ranked Splitstone Quarry,Seris,924970455
1/13/2020 3:57:44 AM,5,Ranked Splitstone Quarry,Atlas,924970455
1/13/2020 3:57:44 AM,5,Ranked Splitstone Quarry,Zhin,924970455
1/4/2020 6:07:22 PM,5,Ranked Ascension Peak,Bomb King,921291729
1/4/2020 6:07:22 PM,5,Ranked Ascension Peak,Raum,921291729
1/4/2020 6:07:22 PM,5,Ranked Ascension Peak,Willo,921291729
1/4/2020 6:07:22 PM,5,Ranked Ascension Peak,Skye,921291729
1/11/2020 11:36:13 PM,5,Ranked Frog Isle,Makoa,924328958
1/11/2020 11:36:13 PM,5,Ranked Frog Isle,Strix,924328958
1/11/2020 11:36:13 PM,5,Ranked Frog Isle,Willo,924328958
1/11/2020 11:36:13 PM,5,Ranked Frog Isle,Inara,924328958
1/2/2020 2:18:06 PM,5,Ranked Bazaar,Skye,920397670
1/2/2020 2:18:06 PM,5,Ranked Bazaar,Moji,920397670
1/2/2020 2:18:06 PM,5,Ranked Bazaar,Raum,920397670
1/2/2020 2:18:06 PM,5,Ranked Bazaar,Willo,920397670
1/5/2020 8:00:41 PM,5,Ranked Warder's Gate,Raum,921760573
1/5/2020 8:00:41 PM,5,Ranked Warder's Gate,Tyra,921760573
1/5/2020 8:00:41 PM,5,Ranked Warder's Gate,Willo,921760573
1/5/2020 8:00:41 PM,5,Ranked Warder's Gate,Zhin,921760573
1/2/2020 4:39:23 PM,5,Ranked Jaguar Falls,Raum,920442864
1/2/2020 4:39:23 PM,5,Ranked Jaguar Falls,Moji,920442864
1/2/2020 4:39:23 PM,5,Ranked Jaguar Falls,Khan,920442864
1/2/2020 4:39:23 PM,5,Ranked Jaguar Falls,Makoa,920442864
1/1/2020 10:29:37 PM,5,Ranked Jaguar Falls,Moji,920188479
1/1/2020 10:29:37 PM,5,Ranked Jaguar Falls,Raum,920188479
1/1/2020 10:29:37 PM,5,Ranked Jaguar Falls,Kinessa,920188479
1/1/2020 10:29:37 PM,5,Ranked Jaguar Falls,Tyra,920188479
2/10/2020 7:12:17 PM,5,Ranked Bazaar,Maeve,936668067
2/10/2020 7:12:17 PM,5,Ranked Bazaar,Imani,936668067
2/10/2020 7:12:17 PM,5,Ranked Bazaar,Seris,936668067
2/10/2020 7:12:17 PM,5,Ranked Bazaar,Dredge,936668067
1/11/2020 8:28:19 PM,6,Ranked Ascension Peak,Willo,924236459
1/11/2020 8:28:19 PM,6,Ranked Ascension Peak,Makoa,924236459
1/11/2020 8:28:19 PM,6,Ranked Ascension Peak,Inara,924236459
1/11/2020 8:28:19 PM,6,Ranked Ascension Peak,Koga,924236459
2/5/2020 4:10:02 PM,6,Ranked Bazaar,Willo,934612983
2/5/2020 4:10:02 PM,6,Ranked Bazaar,Zhin,934612983
2/5/2020 4:10:02 PM,6,Ranked Bazaar,Raum,934612983
2/5/2020 4:10:02 PM,6,Ranked Bazaar,Maeve,934612983
1/27/2020 4:52:20 PM,6,Ranked Splitstone Quarry,Willo,931109873
1/27/2020 4:52:20 PM,6,Ranked Splitstone Quarry,Strix,931109873
1/27/2020 4:52:20 PM,6,Ranked Splitstone Quarry,Raum,931109873
1/27/2020 4:52:20 PM,6,Ranked Splitstone Quarry,Kinessa,931109873
